quize,answer,meaning
될성부른 나무는 ,떡잎부터 알아본다,잘될 사람은 어려서부터 남달리 장래성이 엿보인다는 말
말이 ,씨가 된다,늘 말하던 것이 마침내 사실대로 되었을 때를 이르는 말
수박,겉 핥기,"맛있는 수박을 먹는다는 것이 딱딱한 겉만 핥고 있다는 뜻으로, 사물의 속 내용은 모르고 겉만 건드리는 일을 비유적으로 이르는 말"
얌전한 고양이가,부뚜막에 먼저 올라간다,겉으로는 얌전하고 아무것도 못 할 것처럼 보이는 사람이 딴 짓을 하거나 자기 실속을 다 차리는 경우를 비유적으로 이르는 말
엎어지면,코 닿을데,매우 가까운 거리를 비유적으로 이르는 말
웃는 낯에 ,침 못 뱉는다,웃는 낯으로 대하는 사람에게 침을 뱉을 수 없다는 뜻으로 좋게 대하는 사람에게 나쁘게 대할 수 없다는 말
입이 열개라도,할 말이 없다,잘못이 명백히 드러나 변명의 여지가 없음을 비유적으로 이르는 말
하룻강아지,범 무서운줄 모른다,철없이 함부로 덤비는 경우를 비유적으로 이르는 말
개똥도 약에,쓰려면 없다,평소 하찮아보이는 것도 필요할 때 보이지 않는다.
가까운 집 며느리일수록,흉이 많다,가깝고 잘 아는 사람일수록 안 좋은 점이 더 보인다.
바다는 메워도,사람의 욕심은 못채운다,"아무리 넓고 깊은 바다를 언젠가 메울 수 있어서 사람의 욕심은 끝이 없다는 뜻이다.
"
벼룩 잡으려다,초가삼간 다 태운다,작은 일을 바로잡으려다가 큰 것을 보지 못해 모든일이 망친다는 뜻
부자는,3대 못간다,선대가 아무리 잘해도 후대가 망친다는 뜻
부자는 망해도,3년은 먹을 것이 있다,말 그대로 부자가 망해도 3년간은 버틸 여력이 있다는 뜻
비온 뒤 ,땅이 굳는다,힘든일을 견뎌내며 더욱더 강해진다는 뜻/ 고난 뒤 역경과 동일한 뜻
아랫돌 빼서,윗돌 괴기,근본적인 해결책이 아닌 임시방편으로 일을 처리한다는 뜻
선무당이 ,사람 잡는다,어설프게 일을 행하려는게 오히려 일을 망칠 수 있다는 뜻
매는 굶겨야,사냥한다,게으른 사람은 위급한 상황이 와야 부지런해진다.
밑 빠진 독에,물 붓기,과거의 실수나 문제를 해결하지 않는다면 아무리 업을 쌓아올려도 결국 보람없는 헛된일이 된다는 뜻
돼지 목에,진주,분수에 맞지않는 과분한 사치를 부리는 사람을 뜻
꽃 본 나비,불을 헤아리랴,남녀 간 정이 깊으면 죽음을 무릎쓰고서도 찾아가서 사랑을 나눈다는 뜻
개 같이 벌어서,정승같이 쓴다,열심히 돈을 벌어 떳ᄄᅠᆺ하게 쓴다는 뜻
가까운 남이,먼 친척보다 낫다,가까운 이웃이 먼 친척보다 더 낫다는 뜻
가랑비에,옷 젖는줄 모른다,아무리 사소한 것이라도 그것이 거듭되면 무시하지 못할 정도록 크게 됨을 뜻한다
고리는 씹어야 맛이요,말은 해야 맛이라,"고기의 참맛을 알려면 겉만 핥을 것이 아니라 자꾸 씹어야 하듯이, 하고 싶은 말이나 해야 할 말은 시원히 다 해버려야 좋다는 말"
고양이 목에,방울 달기,실행하기 어려운 것을 공연히 의논함을 이르는 말
구더기 무서워,장 못 담글까,다소 방해되는 것이 있다 하더라도 마땅히 할 일은 하여야 함을 비유적으로 이르는 말
귀에 걸면 귀걸이,코에 걸면 코걸이,어떤 윈칙이 정해져 있는 것이 아니라 둘러대기에 따라 이렇게도 되고 저렇게도 될 수 있음을 비유적으로 이르는 말
그물에 걸린 ,고기신세,이미 잡혀 옴짝달싹 못하고 죽을 지경에 빠졌음을 비유적으로 이르는 말
모난 돌이,정 맞는다,두각을 나타내는 사람이 남에게 미움을 받게 된다는 말
바늘로 찔러도,치 한 방울 안난다,사람이 매우 단단하고 야무지게 생겼음을 비유적으로 이르는 말
발 없는 말이,천리 간다,말은 비록 발이 없지만 천 리 밖까지도 순식간에 퍼진다는 뜻으로 말을 삼가야 함을 비유적으로 이르는 말
설마가,사람 죽인다,그럴리야 없을 것이라 마음을 놓거나 요행을 바라는 데에서 탈이 난다는 뜻으로 요행을 바라지 말고 있을 수 있는 모든 것을 미리 예빵해 놓아야 한다는 말
황소 뒷걸음치다,쥐 잡는다,어쩌다 우연히 이루거나 알아맞힘을 비유적으로 이르는 말
소문난 잔치에,먹을 것 없다,떠들썩한 소문이나 큰 기대에 비하여 실속이 없거나 소문이 실제와 일치하지 아니하는 경우를 이르는 말
아닌 밤중에,홍두깨,별안간 엉뚱한 말이나 행동을 함을 비유적으로 이르는 말
언 발에,오줌누기,"언 발을 녹이려고 오줌을 누어 봤자 효력이 별로 없다는 뜻으로, 임시변통은 될지 모르나 그 효력이 오래가지 못할 뿐만 아니라 결국에는 사태가 더 나빠짐을 비유적으로 이르는 말"
,,
