quize,answer,meaning
서기,집문,상서로운 기운이 집으로 들어온다는 뜻
쾌도,난마,어지럽게 뒤얽힌 삼의 가닥을 썩 잘 드는 칼로 베어버린다는 뜻으로 무질서한 상황을 통괘하게 풀어놓는것
매사,마골,죽은말의 뼈를 산다는 뜻으로 귀중한 곳을 얻기 위해서는 공을 들여야 한다는 말이다.
상선,약수,최고의 선은 물과 같다는 뜻으로 자신을 낮춰 낮은 곳으로 흐르고 만물에 영양분을 공급해 살아야 한다는 의미로 쓰인다.
붕정,만리,붕새가 만리 여정을 날아 남쪽으로 간다는 뜻으로 원대한 꿈과 비전을 갖고 그것을 실현하기 위해 노력해야 한다는 점을 강조할 때 쓰인다.
공자,천주,공자가 구슬을 꿴다는 뜻으로 어진 사람도 남에게 배울 점이 있다는 말
피강,자보,적이 강하면 우선 나를 돌본다. 상대방이 강하면 스스로를 먼저 보강해야 한다는 뜻으로 불리할수록 참고 기다리는 자세가 필요하다는 말이다.
노마,지지,늙은 말의 지혜라는 뜻으로 연륜이 깊으면 나름의 장점과 특기가 있음. 저마다 한 가지 재주는 지녔다는 말. 아무리 하찮은 것이라도 저마다의 장기나 장점을 가지고 있으므로 이를 발굴해 잘 활용해야 한다는 말이다.
내자,가추,이미 지나간 일은 어찌할 수 없으나 미래의 일은 조심하여 잘할 수 있다는 뜻
수처,작주,어느 곳에 있든 그곳에서 주인이 되어야 한다는 뜻으로 그러기 위해서는 항상 자기의 마음의 고삐를 든든히 잡고 있어야 한다는 말이다.
강구,연월,태평한 시대의 평화로운 풍경
개선,광정,좋도록 고치고 바로잡음
건곤,일척,흥망 성패을 걸고 단판싸움을 함
격물,치지,사물의 이치을 규명하여 자기의 지식을 확고하게함.
경이,원지,겉으로는 공경하는체 하면서 속으로는 멀리함
경천,근민,하나님을 공경하고 백성을 다스리기에 부지런함
계명,구도,작은 재주가 뜻밖에 큰 구실을함
고굉,지신,임금이 가장 믿고 중히 여기는 신하
고장,난명,혼자서 할수 없고 협력해야 일이 이루어짐
골육,상쟁,부자 형제끼리 싸움
괄목,상대,남의 학식이나 재주가 갑자기느는 것을 보아 인식을 새롭게함
우이,독경,아무리 말을하여도 헛수고. 소귀에 경 읽기
유만,부동,모든 것이 일치 하지않음
은인,자중,견디고 참는다
자강,불식,스스로 힘쓰고 쉬지않음
자승,자박,말이나 행동으로 자기가 옭혀 들어감
학수,고대,몹시고대함
허장,성세,허세를 부림
형설,지공,애써 공부한 보람
호연,지기,도의에 근거를두고 굽히기는커녕 흔들리지않는 바른마음
호형,호제,형제처럼 가까운 사이
화룡,점정,사물의 핵심
환골,탈태,타인의 글 취지를 따르되 그 형식을 달리하여 자기 작품처럼 만든다
횡설,수설,요점 없이 이말 저말 
우공,이산,어리석은 노인이 산을 옮긴다는 뜻으로 쉬지 않고 한 가지 일에만 몰두하다 보면 반드시 큰 뜻을 이룰 수 있다는 말이다.
살신,성인,목숨을 걸고 옳은일을 이룸
